method,area,synthetic_people,reference_people,people_diff,synthetic_households,reference_households,household_diff,synthetic_avg_household_size,reference_avg_household_size,avg_hh_size_synthetic,avg_hh_size_reference
joint_ipu_v1,24661817,560,560,0,275,275,0,2.036363636363636,2.036363636363636,2.036363636363636,2.036363636363636
joint_ipu_v1,24661829,464,464,0,290,290,0,1.6,1.6,1.6,1.6
joint_ipu_v1,24661830,496,496,0,260,260,0,1.907692307692308,1.907692307692308,1.907692307692308,1.907692307692308
joint_ipu_v1,24661831,411,411,0,190,190,0,2.163157894736842,2.163157894736842,2.163157894736842,2.163157894736842
joint_ipu_v1,24661832,605,605,0,355,355,0,1.704225352112676,1.704225352112676,1.704225352112676,1.704225352112676
joint_ipu_v1,24661833,614,614,0,370,370,0,1.6594594594594594,1.6594594594594594,1.6594594594594594,1.6594594594594594
joint_ipu_v1,24661835,546,546,0,300,300,0,1.82,1.82,1.82,1.82
joint_ipu_v1,24661836,328,328,0,160,160,0,2.05,2.05,2.05,2.05
joint_ipu_v1,24661837,467,467,0,240,240,0,1.9458333333333333,1.9458333333333333,1.9458333333333333,1.9458333333333333
joint_ipu_v1,24661838,737,737,0,345,345,0,2.136231884057971,2.136231884057971,2.136231884057971,2.136231884057971
joint_ipu_v1,24661839,627,627,0,305,305,0,2.055737704918033,2.055737704918033,2.055737704918033,2.055737704918033
joint_ipu_v1,24661840,368,368,0,185,185,0,1.9891891891891893,1.9891891891891893,1.9891891891891893,1.9891891891891893
joint_ipu_v1,24661895,693,693,0,380,380,0,1.823684210526316,1.823684210526316,1.823684210526316,1.823684210526316
joint_ipu_v1,24661896,487,487,0,295,295,0,1.6508474576271186,1.6508474576271186,1.6508474576271186,1.6508474576271186
joint_ipu_v1,24661897,660,660,0,365,365,0,1.808219178082192,1.808219178082192,1.808219178082192,1.808219178082192
joint_ipu_v1,24661898,488,488,0,290,290,0,1.6827586206896552,1.6827586206896552,1.6827586206896552,1.6827586206896552
joint_ipu_v1,24661899,939,939,0,560,560,0,1.6767857142857143,1.6767857142857143,1.6767857142857143,1.6767857142857143
joint_ipu_v1,24661900,618,618,0,330,330,0,1.8727272727272728,1.8727272727272728,1.8727272727272728,1.8727272727272728
joint_ipu_v1,24661901,380,380,0,175,175,0,2.1714285714285717,2.1714285714285717,2.1714285714285717,2.1714285714285717
joint_ipu_v1,24661902,684,684,0,340,340,0,2.011764705882353,2.011764705882353,2.011764705882353,2.011764705882353
joint_ipu_v1,24661903,468,468,0,295,295,0,1.5864406779661018,1.5864406779661018,1.5864406779661018,1.5864406779661018
joint_ipu_v1,24661904,479,479,0,265,265,0,1.8075471698113208,1.8075471698113208,1.8075471698113208,1.8075471698113208
joint_ipu_v1,24661905,483,483,0,250,250,0,1.932,1.932,1.932,1.932
joint_ipu_v1,24661906,447,447,0,235,235,0,1.902127659574468,1.902127659574468,1.902127659574468,1.902127659574468
joint_ipu_v1,24661907,596,596,0,285,285,0,2.0912280701754384,2.0912280701754384,2.0912280701754384,2.0912280701754384
joint_ipu_v1,24661908,765,765,0,390,390,0,1.9615384615384612,1.9615384615384612,1.9615384615384612,1.9615384615384612
joint_ipu_v1,24661909,400,400,0,220,220,0,1.818181818181818,1.818181818181818,1.818181818181818,1.818181818181818
joint_ipu_v1,24661910,486,486,0,230,230,0,2.1130434782608694,2.1130434782608694,2.1130434782608694,2.1130434782608694
joint_ipu_v1,24661912,464,464,0,230,230,0,2.017391304347826,2.017391304347826,2.017391304347826,2.017391304347826
joint_ipu_v1,24661913,518,518,0,275,275,0,1.883636363636364,1.883636363636364,1.883636363636364,1.883636363636364
joint_ipu_v1,__run_total__,16278,16278,0,8685,8685,0,1.87426597582038,1.87426597582038,1.87426597582038,1.87426597582038
